R0,sigma,gamma,omega,rho,i0,peak_count,ridge_max_abs_dLL,lam_rel_min,cos_vmin_ridge,n_sloppy,drs,drs_control,a_hi,a_lo
1.2861850886641932,2.363417120288906,2.261280630582745,0.021237727295501555,0.2094032962847198,1.4403742779831881e-05,23.805371285471825,0.033670977550716685,3.234455674196356e-17,0.056539023695711545,4,0.007443409478658692,0.12000835391346978,1,2
1.2739167194420093,3.0746645828839427,1.6942990348447313,0.013643764039309557,0.291123235802455,3.8939841068014437e-05,71.03678993289178,0.048993360779373774,1.038852526792468e-16,0.04182998739709212,4,0.006833990607200316,0.14862164068425318,1,2
1.4403568020044817,3.249677612551688,1.4067708541078223,0.03435444573413027,0.1333025840155872,2.2886639702376202e-05,35.924481271465154,0.004478071850648746,1.099363308585256e-16,0.07376354490427438,4,0.006317090008650021,0.451223084928662,1,2
1.178690128581286,3.5193576018064907,1.6048410349021112,0.026879654432572203,0.4426601442830011,1.8170356474311785e-06,2.873458547558244,0.0024937828468569734,7.872738997018891e-19,0.09723351694662592,4,0.006694556969516589,0.039981691565252546,1,2
1.354919709144431,4.398703973226687,1.1489573793490535,0.028298309554526075,0.19781424932691788,4.3045458818725355e-05,53.61786757692653,0.029204753663009342,2.827091035931435e-16,0.0509511860024196,4,0.00637483404258659,0.27470267241903795,1,2
1.2083616578021952,3.8605524097060013,1.3449755325641188,0.01901878655744142,0.2265649627764061,7.423314109551483e-06,5.872597464954303,0.01465984759967398,5.525335230915489e-18,0.059947410060076645,4,0.006615931267638588,0.05387826681246144,1,2
1.253672553508324,3.7601869944170088,1.4064863103127656,0.03187312101775406,0.1574118232185483,6.418116010239147e-06,4.845971632984438,0.0017557998262223151,9.365226432456559e-18,0.11912942295756826,4,0.0066507283714193335,0.06722324816050007,1,2
1.2317819865408095,2.748739731548762,2.396569548478957,0.009606032876542105,0.43258158049013185,1.024490360178735e-05,31.807651028200947,0.02398116128550498,5.481244837266959e-18,0.028744724885884185,4,0.007370398302983617,0.06047713749954321,1,2
1.492256085971781,2.456392334065077,2.369681260412778,0.024921815519106452,0.20509643799887936,1.6007594195061075e-05,106.36900084777427,0.07091119719716943,5.174889661034504e-17,0.04021484533364765,4,0.007159794090803545,0.01110795504668563,1,2
1.3933564131192022,3.507369811083035,1.7884806441002237,0.008042300637875015,0.05272559424664893,1.4104670720340083e-05,12.333935208340208,0.028425575707432316,5.163751899342785e-18,0.018346955571742624,4,0.006783146630891154,0.18652295059926294,1,2
1.304508935432168,6.21898193350603,1.27371167260635,0.027394445905489964,0.5799573062038538,3.355952757562908e-05,140.73247728029915,0.009424754431922366,2.5355495047244904e-16,0.014186919710027486,4,0.007031577601157309,0.1981195428108608,1,2
1.485880535911911,2.441027713524789,1.1633004139823657,0.008038059143065162,0.12276529100482098,1.5705898557148602e-06,1.4253131703353283,6.158874797002056e-05,2.222920377920554e-20,0.017741129047660432,4,0.005943712380989197,0.14127992951328774,1,2
1.1969791402935817,2.046834628295818,2.3517600922249793,0.01059397635041449,0.23690341167262952,5.918915005290769e-06,5.5879844396149725,9.927543271359696e-05,1.4197799162555335e-18,0.037726290393856304,4,0.007705024019757978,0.043815053475423346,1,2
1.4010094395976405,5.490616667543551,1.420387746840598,0.015220078246301524,0.06370613917523898,3.0550325901107888e-06,3.032714855953773,0.006122540124509079,6.492560530100375e-19,0.02332260063816194,4,0.0068019359896538375,0.2527820873748947,1,2
1.220120616657467,2.9437923920174964,1.3462090297377078,0.016529159993589688,0.1143112978078839,3.5919253652699925e-06,1.2959150810147322,0.0008478346185825103,7.756298992306334e-19,0.05878198845047221,4,0.006515295143434417,0.061551542624539546,1,2
1.4342424579718975,2.0306572764803925,1.0048310309814041,0.0056305583631622216,0.4295860364311854,1.1931782816499667e-05,20.108074562575244,0.003969846890615969,4.2825217624471244e-19,0.0152352178896939,4,0.006301452541969766,0.13808990279745884,1,2
1.3954041290973613,6.638620561070869,1.2210993590721506,0.03386982393387901,0.09136497907976032,7.612675269271007e-06,8.082989585808706,0.022851546760385588,1.366346653498088e-17,0.04829069410230067,4,0.006792086584853881,0.25075736393704073,1,2
1.3781257942912286,5.429915006565243,1.255258952485332,0.013482353244690614,0.05599776218780378,3.083876619564919e-06,1.7191947732542985,0.00629314220633681,4.41601759227625e-19,0.02813401215836748,4,0.006683907532460157,0.12198984943113803,1,2
1.4924337162084955,6.215381586353724,1.704657461291141,0.025659274148859944,0.47056397320096294,3.6627881730351905e-06,93.38285992699076,0.06765410215876244,3.0303729017307494e-18,0.10577322514324088,4,0.006727928641726111,0.010940142057375668,1,2
1.4922484696356095,3.5080053122261807,1.1567279870041742,0.015054792252101481,0.2185838282155685,1.5035060115884702e-05,34.704131110781965,0.08561211097111965,9.194961030366442e-18,0.04476005127537282,4,0.005899679987100568,0.8442777093018576,1,2
1.3744260962714878,2.106584949934351,1.7959794531753603,0.03398445318309243,0.2643236767721782,4.537977366807334e-05,95.51144628007292,0.030377883041200704,4.135890235250816e-16,0.07960581049213633,4,0.007251525574127373,0.9139912370587794,1,2
1.3174145677924507,5.5187224545903195,1.137155930725063,0.03219025219047781,0.147899174879895,3.086276993948522e-05,26.25685224352821,0.019156170714055065,1.9590913045510541e-16,0.06431637552795702,4,0.006671357427925059,0.13270351259054897,1,2
1.2523315861385909,4.372227184146277,2.172168125687778,0.021947715715092367,0.23333811775338023,4.457589337119207e-05,122.05446283131407,0.07703773808768943,6.020888721738655e-16,0.14810131703525814,4,0.007403385898304901,0.572167070533617,1,2
1.1772049483991145,2.2725966790828482,1.657661580781951,0.03640332850246064,0.2752983734592319,3.357968313470898e-06,2.4829502791043865,0.001482457092057743,2.574615386645485e-18,0.1381550519855993,4,0.006985598025531298,0.04804110862227356,1,2
1.1833895742746245,3.5069389134081512,1.5528401275290826,0.013239280900179146,0.2329941992837964,2.907262042510958e-06,2.3743789865951532,0.0020095178274655012,5.297013613741047e-19,0.04923094631485437,4,0.006670575467238332,0.042635538862014696,1,2
1.4530796235356174,2.8701226999663985,1.1030849431959948,0.01033025228839749,0.5114202204063805,1.8657607800838415e-06,6.419654091717941,0.002144976201474691,5.219508086392777e-20,0.02389394661008888,4,0.0059096334535196785,0.12829310902259636,1,2
1.2380588545023414,6.384837979339717,1.3756742666746278,0.02886425348928717,0.05597566337408054,3.2322784649678205e-05,10.256287469855316,0.0027475554965370463,2.964034487723303e-16,0.005159821685638204,4,0.007286590072781811,0.07733954392367624,1,2
1.2248366827787058,2.507670524686474,1.97409648777907,0.03913295184003349,0.5422625149026213,1.8973961495743676e-05,49.19717688062454,0.032156905353108556,1.4004218374028777e-16,0.12164721778459495,4,0.0071518410373848295,0.060061502592803045,1,2
1.466222929961074,6.887451372288547,1.6594778164640884,0.00675410243384102,0.41267828857885236,4.705353739296558e-06,89.05891718072071,0.04819130481373435,5.259621328167335e-19,0.03520434737338253,4,0.006928677696392382,0.012949408668442923,1,2
1.2496142189409756,3.7459269023784163,1.0324662368243775,0.0051982627538756905,0.09643040243120866,1.0289034265354457e-05,2.8011284629989115,0.0018919409349038574,5.52899294470619e-19,0.01817802740263685,4,0.006367008702235388,0.07564246022902518,1,2
1.4033803611518827,6.634493785846288,2.116269249221658,0.035389919046055957,0.24305010019559078,1.7655315722427856e-05,254.36282397862965,0.6300305419303953,3.4338563963720514e-17,0.6831776456139147,4,0.007662520755062081,0.007514710271654378,1,2
1.3442384922747563,2.2148023823642218,1.0583614353096849,0.02429094238240922,0.0826681719803426,2.197250429897924e-05,5.845612105944448,0.007778016176088087,2.4283013538981572e-17,0.07293461980987162,4,0.0063699540641327075,0.11696138976831646,1,2
1.3009090039483946,2.017481936123675,1.6728437143684414,0.012562414968091629,0.060076475398509695,2.776884990561195e-06,0.7830444162240207,4.470883538942871e-06,2.320165733545591e-19,0.03726285448677607,4,0.007038330728817144,0.08805665023672449,1,2
1.2476204645676308,3.0839236173674065,1.9110656989126487,0.007079996849861081,0.15043979492933346,1.0739612063062517e-05,10.456017099517918,0.01684515358305383,2.6887298884323954e-18,0.021422550280385373,4,0.006959302855820365,0.06988311780983918,1,2
1.4787644324861613,2.3098888243579636,1.0753862361626607,0.007449108920732893,0.08649963687518496,1.8903322016399342e-06,0.9598988914647556,0.0002413811277826028,2.4184220537935683e-20,0.01747280418097129,4,0.0059308843755716935,0.13500620639585975,1,2
1.1734573250328617,2.6003810600819843,1.2271163847727928,0.013553327504100557,0.250031103653748,4.151470469588133e-06,2.116865552473748,0.0013064637915185529,5.712220647296042e-19,0.0572332483030555,4,0.006713495059445402,0.0600845730488921,1,2
1.202553669609408,2.251842692211174,1.272590544853319,0.00713234090456823,0.16523212254440758,3.0196501990966214e-05,11.180675422775991,0.04002122366209804,8.172333795985054e-18,0.028747988483153207,4,0.006862456001836338,0.0710108501527217,1,2
1.3911422295104063,2.579902271067863,1.033372921795474,0.005754852060325729,0.14766133257943156,4.147021213577607e-06,2.57970317214787,0.0013924996743526208,6.997644516969141e-20,0.01594338222769834,4,0.006038830168701445,0.11449663491459554,1,2
1.3786262103658844,2.221628563525262,1.2626879540530036,0.020810898425156286,0.20512472722060338,7.548361948438671e-06,7.61872194082445,0.01249221455790206,3.0047234937548613e-18,0.05475169085579005,4,0.006416624511351788,0.12238126360974906,1,2
1.4613152381052013,2.30509948530317,1.1961575750250382,0.01620806627689339,0.20372470398843112,4.6255592907810566e-05,62.39004896281042,0.0805845451201499,7.363343305757083e-17,0.037504165515263185,4,0.006241381181842461,0.7619483082894691,1,2
1.4910297023841512,4.173928784207171,2.0043946974187037,0.021320570484963032,0.06957119431613028,1.0550572006807062e-05,38.62528132164645,0.23231467799799432,2.142490252307204e-17,0.048173585513990036,4,0.006842522985922584,0.007368013209863366,1,2
1.2473290680596185,3.135667551116286,1.153962582274141,0.005087402046550548,0.417070248383022,1.652945285381813e-05,20.77426076475575,0.014187236905584655,1.5292326559098346e-18,0.029364928248240517,4,0.006367814121131738,0.07648090108788352,1,2
1.4044191839561544,2.8690406694463784,1.465875851213124,0.00721118248813336,0.22326825596866506,2.6654955784106793e-05,55.60015780395203,0.06690058804476351,1.0241530260804268e-17,0.017061482557512574,4,0.006471697826769446,0.9011461344984051,1,2
1.4143896299940024,6.442883572354332,1.2695510384857476,0.021494907529778267,0.06850458567775229,8.150036460130816e-06,7.876471811629505,0.006286739824620469,7.955005401291486e-18,0.02241557819531718,4,0.006754185323731142,0.6735543633770381,1,2
1.1841860135880202,3.9356538012768256,1.643360320910475,0.010287183265871162,0.11916201858226276,1.6149706353277522e-05,7.9221813171097395,0.004520949928359386,1.2773331151380411e-17,0.047790818474524155,4,0.006803472863286553,0.041349395504180785,1,2
1.3067952320927594,3.332825756896479,1.1088006769845684,0.008992972448468072,0.41030624042040814,4.4810005636246765e-05,71.75927322550899,0.022387180689015906,3.2539004612583804e-17,0.018990872117654045,4,0.006236877881081564,0.11724580011214694,1,2
1.2698723138394985,5.953997007380533,2.2267900834907426,0.007869252529955769,0.098732886966381,1.5224785796581548e-05,29.185232262045044,0.04611456465173802,0.0,0.5641447215371984,4,0.007848507805784263,0.20963320654254491,1,2
1.2474103904347662,6.618753389258701,1.397271624463691,0.022824882038483967,0.28991243027740987,2.306633062775117e-06,4.23988527491977,0.004586331125882026,9.97794087807689e-19,0.05936885006400719,4,0.007374317850388401,0.056919966285431306,1,2
