R0,rho,i0,n_sloppy,a_hi,a_lo,nll,rho_pass1,mean_count,drs_var,drs_geo,margin,margin_sd,margin_snr,drs_var_control,drs_geo_control,region,season,n_decades
1.15000000115,816.4771497184738,1.1733211430050515e-06,3,1,0,42.12389401538377,816.4771497184738,1402.3333333333333,0.4156258107475134,0.0039911416414250105,0.0019290135261530808,3.112963011655209e-05,61.96712003742683,0.7029068405313585,0.43907172065403377,hhs9,2019-2020,1.0
1.15,19.38935214267988,4.55912576509898e-05,3,1,0,39.71642345605291,29.266806560154134,915.3333333333334,0.4665191814379367,0.006105244358692514,0.0011827415915574755,0.0006291113638952645,1.8800194360411844,0.022592766851503635,0.0004802417218421435,hhs9,2020-2021,1.0
1.15,176.62216919065665,1.4134749640338027e-05,3,1,0,46.01989020573413,215.6134861168691,2481.1666666666665,0.47656750724062186,0.006476311648801566,0.0017327425635189793,0.00018641780298290898,9.294941447613988,0.04966677585258017,0.0012312236509866904,hhs9,2021-2022,1.0
1.161994683544329,2325.7290012787817,2.4311960052977307e-06,3,1,0,55.18847632143615,1620.6710616607322,12804.333333333334,0.34792619251799567,0.002209105909212024,0.0017893441798784604,0.00016115209858326416,11.103449446883506,0.8219936166382126,0.1325681089435438,hhs9,2022-2023,1.0
1.15000000115,406.98275919585063,2.916851323288679e-05,3,1,0,55.35259817936097,406.98275919585063,12852.5,0.46549210593367074,0.005950889323866436,0.0014272822406939663,0.0004351735952275555,3.2797997312948866,0.004693049599920435,4.745973843158109e-05,hhs9,2023-2024,1.0
1.15,238.29319230715421,4.195945859948346e-05,3,1,0,54.00041602596265,414.89589403052616,10062.666666666666,0.4764123485473011,0.0064638304493988335,0.0012766290039287805,0.0005502798547778388,2.3199631839042816,0.05261420612680637,0.0013495054397355708,hhs9,2024-2025,1.0
1.15,110.06437543477085,8.101640111766346e-06,3,1,0,39.84475798361359,130.55665777711943,888.1666666666666,0.47635280752808346,0.006497049044880588,0.0018320208925790274,0.00010703414083967143,17.116229253647656,0.04953022206846681,0.0012217402172237017,il,2015-2016,1.0
1.15,17.77112184315414,4.037644307412364e-05,3,1,0,38.31128871457144,33.34357511048011,721.1666666666666,0.4759455752008703,0.006499848912132306,0.0013025054324098933,0.0005302599285711034,2.45635274745306,0.05337390713093667,0.0013737831972335589,il,2016-2017,1.0
1.15,21.200222566249984,2.662780337341555e-05,3,1,0,37.407611246606244,27.774394962336316,559.3333333333334,0.47593967281692245,0.006512248775842388,0.0015276060969903172,0.00035073396445000656,4.3554552790055245,0.052060540046683965,0.001320216100420058,il,2017-2018,1.0
1.15,46.806055219724136,1.0606366525740891e-05,3,1,0,36.531439450974325,68.17786619754449,545.3333333333334,0.44400194567759815,0.005272409164483679,0.0017619670104824365,0.00016619591747855266,10.60174664464797,0.027307168769919943,0.000748358565944756,il,2018-2019,1.0
1.1500000008031495,27.822803055199472,4.9992076593994275e-05,3,1,0,42.26019227444417,27.8239956002392,1401.0,0.47620682329749003,0.006482213796003574,0.001145054202281965,0.0006555590842532486,1.746683448962199,0.053494461383789695,0.0013832577872260523,il,2019-2020,1.0
1.1713082366434375,435.25277889592064,1.5405144952397326e-06,3,1,0,38.83275745284688,435.2531685365458,786.8333333333334,0.4502111795196859,0.005854833333842409,0.0019292727211530898,3.0034988868797896e-05,64.23417466810955,0.11963604779445297,0.004350142130803537,il,2020-2021,1.0
1.15,80.84973135183,1.0644949343406101e-05,3,1,0,39.53879423288218,106.71564374058858,857.6666666666666,0.4763015659829692,0.0064975157327846,0.001790166158370647,0.00014055600521710267,12.736319274338781,0.04989493930066148,0.0012360474310187917,il,2021-2022,1.0
1.1875155556564412,264.33469986764635,6.47420270452934e-06,3,1,0,45.926956479276015,357.80110729548284,2724.3333333333335,0.3361620228642767,0.00252375147994727,0.0016686708249910942,0.00026232845129215554,6.360998270571473,0.25030495822268534,0.07174202963513457,il,2022-2023,1.0
1.15,21.980994629684517,4.8587954053460014e-05,3,1,0,41.77476292024862,32.45790681797989,1314.0,0.44353789796767,0.005051079635649672,0.0008485932244967293,0.0009210969706769618,0.9212854362913105,0.33874409552868984,0.02051800104135586,il,2023-2024,1.0
1.15,199.30154327870324,5.3557858956277656e-06,3,1,0,40.95276055270866,211.388633196908,1061.8333333333333,0.4764419616892476,0.0064922331826809225,0.0018772492242316687,7.078080813352932e-05,26.522008913633805,0.04912466243395449,0.0012061245148118848,il,2024-2025,1.0
1.15,11.473705661555142,1.6068114756831546e-05,3,1,0,30.2533001796709,16.84855285451031,185.16666666666666,0.4748058217525468,0.00661317416304054,0.001700943621887024,0.00021273997013054812,7.995411585529687,0.0533034538680566,0.0013533255927507364,mi,2015-2016,1.0
1.1616892439746416,12.535072993802352,1.661409709284678e-05,3,1,0,33.16860586418971,17.250875569082478,310.8333333333333,0.34626289229835894,0.002534628529974713,0.0013822161210490856,0.0005066569131449878,2.7281106507936723,0.23328070368271858,0.08512821880480886,mi,2016-2017,1.0
1.15,9.711593931079324,3.643576660582032e-05,3,1,0,34.1351086260333,16.843316624288555,356.0,0.47555116336380177,0.006541519385287871,0.0013667114706769658,0.00047978293456197473,2.848603758540779,0.053543857649263595,0.0013759754098842517,mi,2017-2018,1.0
