cell_id,W,phi,rho_level,ppf_flow,ppf_boxw,ess_frac,frac_in_box
70,6,50.0,0.1144714242553332,0.4265,0.4265,1.0,1.0
71,10,50.0,0.1144714242553332,0.0985,0.0985,1.0,1.0
72,6,2.0,0.1144714242553332,0.346,0.346,1.0,1.0
73,10,2.0,0.1144714242553332,0.145,0.145,1.0,1.0
74,6,10.0,0.1144714242553332,0.348,0.348,1.0,1.0
75,10,10.0,0.1144714242553332,0.4895,0.4895,1.0,1.0
76,6,50.0,0.1144714242553332,0.383,0.383,1.0,1.0
77,10,50.0,0.1144714242553332,0.303,0.303,1.0,1.0
78,6,2.0,0.1144714242553332,0.084,0.084,1.0,1.0
79,10,2.0,0.1144714242553332,0.0165,0.0165,1.0,1.0
80,6,10.0,0.1144714242553332,0.183,0.183,1.0,1.0
81,10,10.0,0.1144714242553332,0.06,0.06,1.0,1.0
82,6,50.0,0.1144714242553332,0.2475,0.2475,1.0,1.0
83,10,50.0,0.1144714242553332,0.0315,0.0315,1.0,1.0
84,6,2.0,0.1144714242553332,0.344,0.344,1.0,1.0
85,10,2.0,0.1144714242553332,0.1225,0.1225,1.0,1.0
86,6,10.0,0.1144714242553332,0.4965,0.4965,1.0,1.0
87,10,10.0,0.1144714242553332,0.511,0.511,1.0,1.0
88,6,50.0,0.1144714242553332,0.4855,0.4855,1.0,1.0
89,10,50.0,0.1144714242553332,0.2845,0.2845,1.0,1.0
90,6,2.0,0.1144714242553332,0.559,0.559,1.0,1.0
91,10,2.0,0.1144714242553332,0.462,0.462,1.0,1.0
92,6,10.0,0.1144714242553332,0.5055,0.5055,1.0,1.0
93,10,10.0,0.1144714242553332,0.298,0.298,1.0,1.0
94,6,50.0,0.1144714242553332,0.4925,0.4925,1.0,1.0
95,10,50.0,0.1144714242553332,0.411,0.411,1.0,1.0
96,6,2.0,0.26207413942088964,0.411,0.411,1.0,1.0
97,10,2.0,0.26207413942088964,0.068,0.068,1.0,1.0
98,6,10.0,0.26207413942088964,0.517,0.517,1.0,1.0
99,10,10.0,0.26207413942088964,0.206,0.206,1.0,1.0
100,6,50.0,0.26207413942088964,0.303,0.303,1.0,1.0
101,10,50.0,0.26207413942088964,0.103,0.103,1.0,1.0
102,6,2.0,0.26207413942088964,0.2625,0.2625,1.0,1.0
103,10,2.0,0.26207413942088964,0.2745,0.2745,1.0,1.0
104,6,10.0,0.26207413942088964,0.4105,0.4105,1.0,1.0
105,10,10.0,0.26207413942088964,0.342,0.342,1.0,1.0
106,6,50.0,0.26207413942088964,0.342,0.342,1.0,1.0
107,10,50.0,0.26207413942088964,0.3225,0.3225,1.0,1.0
108,6,2.0,0.26207413942088964,0.1985,0.1985,1.0,1.0
109,10,2.0,0.26207413942088964,0.2695,0.2695,1.0,1.0
110,6,10.0,0.26207413942088964,0.36,0.36,1.0,1.0
111,10,10.0,0.26207413942088964,0.397,0.397,1.0,1.0
112,6,50.0,0.26207413942088964,0.415,0.415,1.0,1.0
113,10,50.0,0.26207413942088964,0.545,0.545,1.0,1.0
114,6,2.0,0.26207413942088964,0.4535,0.4535,1.0,1.0
115,10,2.0,0.26207413942088964,0.2665,0.2665,1.0,1.0
116,6,10.0,0.26207413942088964,0.407,0.407,1.0,1.0
117,10,10.0,0.26207413942088964,0.275,0.275,1.0,1.0
118,6,50.0,0.26207413942088964,0.2665,0.2665,1.0,1.0
119,10,50.0,0.26207413942088964,0.112,0.112,1.0,1.0
120,6,2.0,0.26207413942088964,0.466,0.466,1.0,1.0
121,10,2.0,0.26207413942088964,0.298,0.298,1.0,1.0
122,6,10.0,0.26207413942088964,0.271,0.271,1.0,1.0
123,10,10.0,0.26207413942088964,0.2725,0.2725,1.0,1.0
124,6,50.0,0.26207413942088964,0.3015,0.3015,1.0,1.0
125,10,50.0,0.26207413942088964,0.3345,0.3345,1.0,1.0
